trial,fmg_samples,left_insole_samples,right_insole_samples,left_contacts,right_contacts,left_cycles,right_cycles,status
1,2394,1983,2037,11,11,10,10,OK
2,2331,1987,1991,11,11,10,10,OK
3,2264,1933,1935,11,11,10,10,OK
4,2554,2182,2186,11,13,10,12,OK
5,2101,1789,1791,11,12,10,11,OK
6,2085,1777,1779,11,12,10,11,OK
7,2317,1971,1974,11,11,10,10,OK
8,2157,1837,1840,10,12,9,11,OK
