trial,fmg_samples,left_insole_samples,right_insole_samples,left_contacts,right_contacts,left_cycles,right_cycles,status
1,1968,1719,1730,10,11,9,10,OK
2,2134,1807,1816,11,12,10,11,OK
3,2208,1861,1872,10,12,9,11,OK
4,2130,1792,1801,11,12,10,11,OK
5,2443,2064,2077,10,12,9,11,OK
6,2326,1964,1977,11,12,10,11,OK
7,2119,1788,1797,10,12,9,11,OK
8,2047,1727,1734,11,12,10,11,OK
9,2043,1726,1734,10,11,9,10,OK
10,2127,1793,1801,11,11,10,10,OK
11,2258,1901,1914,10,11,9,10,OK
12,2185,1840,1851,11,12,10,11,OK
13,2118,1782,1795,11,12,10,11,OK
