trial,fmg_samples,left_insole_samples,right_insole_samples,left_contacts,right_contacts,left_cycles,right_cycles,status
1,2082,1787,1820,11,11,10,10,OK
2,2031,1744,1776,11,11,10,10,OK
3,2091,1793,1827,11,12,10,11,OK
4,1973,1759,1790,11,10,10,9,OK
5,2053,1774,1805,11,12,10,11,OK
6,2156,1851,1884,12,11,11,10,OK
7,2107,1803,1834,12,11,11,10,OK
8,2218,1909,1943,11,10,10,9,OK
9,2200,1867,1915,11,11,10,10,OK
10,2192,1871,1903,11,11,10,10,OK
11,2076,1777,1807,11,11,10,10,OK
12,2106,1807,1835,11,10,10,9,OK
13,2059,1764,1790,10,11,9,10,OK
14,2211,1915,1946,11,10,10,9,OK
15,2081,1787,1814,10,11,9,10,OK
16,2146,1843,1871,11,10,10,9,OK
17,2415,2056,2106,11,11,10,10,OK
18,2112,1816,1844,11,10,10,9,OK
